Date,Time,Store,Location,Magazine,Magazine_Location,Week,Year,Product,Brand,Description,Quantity,Unit,Price,Currency,URL,OCR_Confidence,Language,Notes,Image_Path
2026-03-23,16:28:02,Auchan,Paris,auchan_fr,Paris,13,2026,lait,mdd,"entier",1.00,L,1.13,EUR,none,,fr,"","C:\Users\emman\p_Claude\capstone\datacollection\Auchan\lait entier_1.00L\2026-03-23_16-27-48-749.png"
2026-03-23,17:30:56,Auchan,Paris,auchan_fr,Paris,13,2026,lait,lactel,"entier; bouteille",1.00,L,2.29,EUR,none,,fr,"","C:\Users\emman\p_Claude\capstone\datacollection\Auchan\lait entier_1.00L\2026-03-23_17-30-48-296.png"
2026-03-23,20:21:22,Auchan,Paris,auchan_fr,Paris,13,2026,yaourt,mdd,"nature 8x 125mg plaquette; pot ",1.00,kg,1.50,EUR,none,,fr,"","C:\Users\emman\p_Claude\capstone\datacollection\Auchan\yaourt_1.00kg\2026-03-23_20-20-55-494.png"
2026-03-23,20:26:46,Auchan,Paris,auchan_fr,Paris,13,2026,yaourt,mdd,"grec nature; boite",1.00,kg,4.95,EUR,none,,fr,"","C:\Users\emman\p_Claude\capstone\datacollection\Auchan\yaourt_1.00kg\2026-03-23_20-26-42-505.png"
2026-03-23,20:43:56,Auchan,Paris,auchan_fr,Paris,13,2026,creme,president,"fraiche 30% epaisse; boite",450.00,g,2.30,EUR,none,,fr,"","C:\Users\emman\p_Claude\capstone\datacollection\Auchan\creme_450.00g\2026-03-23_20-43-34-343.png"
2026-03-23,21:04:25,Auchan,Paris,auchan_fr,Paris,13,2026,creme,mdd,"entiere 30% epaisse; boite",50.00,cl,2.04,EUR,none,,fr,"","C:\Users\emman\p_Claude\capstone\datacollection\Auchan\creme_50.00cl\2026-03-23_21-04-14-321.png"
2026-03-23,21:07:53,Auchan,Paris,auchan_fr,Paris,13,2026,fromage,mdd,"emmental rape maxi; sachet",500.00,g,4.69,EUR,none,,fr,"","C:\Users\emman\p_Claude\capstone\datacollection\Auchan\fromage_500.00g\2026-03-23_21-07-47-785.png"
2026-03-23,21:09:10,Auchan,Paris,auchan_fr,Paris,13,2026,fromage,president,"emmental rape fondant; sachet",200.00,g,2.13,EUR,none,,fr,"","C:\Users\emman\p_Claude\capstone\datacollection\Auchan\fromage_200.00g\2026-03-23_21-09-03-889.png"
2026-03-23,21:15:25,Auchan,Paris,auchan_fr,Paris,13,2026,fromage,mdd,"camembert; boite",250.00,g,1.75,EUR,none,,fr,"","C:\Users\emman\p_Claude\capstone\datacollection\Auchan\fromage_250.00g\2026-03-23_21-15-15-527.png"
2026-03-23,21:18:06,Auchan,Paris,auchan_fr,Paris,13,2026,fromage,president,"camembert; boite",250.00,g,2.17,EUR,none,,fr,"","C:\Users\emman\p_Claude\capstone\datacollection\Auchan\fromage_250.00g\2026-03-23_21-18-00-693.png"
2026-03-23,21:25:55,Auchan,Paris,auchan_fr,Paris,13,2026,fromage,mdd,"mimolette jaune 10 tranches; barquet",200.00,g,2.18,EUR,none,,fr,"","C:\Users\emman\p_Claude\capstone\datacollection\Auchan\fromage_200.00g\2026-03-23_21-25-48-509.png"
2026-03-23,21:29:24,Auchan,Paris,auchan_fr,Paris,13,2026,beurre,paysan-breton,"demi-sel; moule",250.00,g,3.89,EUR,none,,fr,"","C:\Users\emman\p_Claude\capstone\datacollection\Auchan\beurre_250.00g\2026-03-23_21-29-18-428.png"
2026-03-23,21:31:17,Auchan,Paris,auchan_fr,Paris,13,2026,beurre,mdd,"demi-sel 81%; moule",500.00,g,5.15,EUR,none,,fr,"","C:\Users\emman\p_Claude\capstone\datacollection\Auchan\beurre_500.00g\2026-03-23_21-31-06-166.png"
2026-03-24,08:05:32,Auchan,Paris,auchan_fr,Paris,13,2026,carrots,mdd,"vrac; france",1.50,kg,2.95,EUR,none,,fr,"","C:\Users\emman\p_Claude\capstone\datacollection\Auchan\carrots_1.50kg\2026-03-24_08-03-53-895.png"
2026-03-24,08:14:10,Auchan,Paris,auchan_fr,Paris,13,2026,laitue,none,"vrac; france",1.00,piece,1.39,EUR,none,,fr,"","C:\Users\emman\p_Claude\capstone\datacollection\Auchan\laitue_1.00piece\2026-03-24_08-14-04-958.png"
2026-03-24,17:01:47,Auchan,Paris,auchan_fr,Paris,13,2026,oignons,none,"rouges; france",500.00,g,2.55,EUR,none,,fr,"","C:\Users\emman\p_Claude\capstone\datacollection\Auchan\oignons_500.00g\2026-03-24_17-01-42-190.png"
2026-03-24,17:02:51,Auchan,Paris,auchan_fr,Paris,13,2026,oignons,none,"selection; france",,g,2.79,EUR,none,,fr,"","C:\Users\emman\p_Claude\capstone\datacollection\Auchan\oignons\2026-03-24_17-02-42-050.png"
2026-03-24,17:05:19,Auchan,Paris,auchan_fr,Paris,13,2026,pomme-de-terre,mdd,"four et puree",2.50,kg,2.99,EUR,none,,fr,"","C:\Users\emman\p_Claude\capstone\datacollection\Auchan\pommedeterre_2.50kg\2026-03-24_17-05-08-629.png"
2026-03-24,17:12:36,Auchan,Paris,auchan_fr,Paris,13,2026,tomates,none,"rondes; maroc",1.00,kg,1.99,EUR,none,,fr,"","C:\Users\emman\p_Claude\capstone\datacollection\Auchan\tomates_1.00kg\2026-03-24_17-12-32-003.png"
2026-03-24,17:17:19,Auchan,Paris,auchan_fr,Paris,13,2026,haricots-verts,c'zon,"eboutes",400.00,g,4.49,EUR,none,,fr,"","C:\Users\emman\p_Claude\capstone\datacollection\Auchan\haricotsverts_400.00g\2026-03-24_17-17-10-330.png"
2026-03-24,17:19:43,Auchan,Paris,auchan_fr,Paris,13,2026,haricots-verts,mdd,"extra-fins; surgele",1.00,kg,2.17,EUR,none,,fr,"","C:\Users\emman\p_Claude\capstone\datacollection\Auchan\haricotsverts_1.00kg\2026-03-24_17-19-37-305.png"
2026-03-24,17:22:36,Auchan,Paris,auchan_fr,Paris,13,2026,oignons,mdd,"eminces; surgele",1.00,kg,2.06,EUR,none,,fr,"","C:\Users\emman\p_Claude\capstone\datacollection\Auchan\oignons_1.00kg\2026-03-24_17-22-32-672.png"
2026-03-24,17:27:07,Auchan,Paris,auchan_fr,Paris,13,2026,petits-pois,mdd,"extra fins; surgele",1.00,kg,2.22,EUR,none,,fr,"","C:\Users\emman\p_Claude\capstone\datacollection\Auchan\petits-pois_1.00kg\2026-03-24_17-27-00-090.png"
2026-03-24,17:32:21,Auchan,Paris,auchan_fr,Paris,13,2026,petits-pois,d'aucy,"extra fins; boite",560.00,g,2.11,EUR,none,,fr,"","C:\Users\emman\p_Claude\capstone\datacollection\Auchan\petits-pois_560.00g\2026-03-24_17-32-08-408.png"
2026-03-24,17:36:34,Auchan,Paris,auchan_fr,Paris,13,2026,epinards,mdd,"haches; surgele",1.00,kg,1.58,EUR,none,,fr,"","C:\Users\emman\p_Claude\capstone\datacollection\Auchan\epinards_1.00kg\2026-03-24_17-36-28-873.png"
2026-03-24,17:38:01,Auchan,Paris,auchan_fr,Paris,13,2026,epinards,none,"vrac; france",400.00,g,2.99,EUR,none,,fr,"","C:\Users\emman\p_Claude\capstone\datacollection\Auchan\epinards_400.00g\2026-03-24_17-37-52-318.png"
2026-03-24,18:09:09,Auchan,Paris,auchan_fr,Paris,13,2026,haricots,mdd,"rouges",500.00,g,3.01,EUR,none,,fr,"","C:\Users\emman\p_Claude\capstone\datacollection\Auchan\haricots_500.00g\2026-03-24_18-09-03-211.png"
2026-03-24,18:12:53,Auchan,Paris,auchan_fr,Paris,13,2026,haricots,mdd,"rouges; boite",500.00,g,1.59,EUR,none,,fr,"","C:\Users\emman\p_Claude\capstone\datacollection\Auchan\haricots_500.00g\2026-03-24_18-12-50-830.png"
2026-03-24,18:14:32,Auchan,Paris,auchan_fr,Paris,13,2026,pois-chiches,mdd,"boite",530.00,g,1.40,EUR,none,,fr,"","C:\Users\emman\p_Claude\capstone\datacollection\Auchan\pois-chiches_530.00g\2026-03-24_18-14-27-510.png"
2026-03-24,18:16:52,Auchan,Paris,auchan_fr,Paris,13,2026,pois-chiches,mdd,"sachet",500.00,g,2.79,EUR,none,,fr,"","C:\Users\emman\p_Claude\capstone\datacollection\Auchan\pois-chiches_500.00g\2026-03-24_18-16-47-797.png"
2026-03-24,18:25:48,Auchan,Paris,auchan_fr,Paris,13,2026,sauce-tomate,mdd,"bocal",420.00,g,1.34,EUR,none,,fr,"","C:\Users\emman\p_Claude\capstone\datacollection\Auchan\sauce-tomate_4200.00g\2026-03-24_18-25-44-359.png"
2026-03-24,19:29:31,Auchan,Paris,auchan_fr,Paris,13,2026,tomacouli,panzani,"nature; tpk",500.00,g,1.22,EUR,none,,fr,"","C:\Users\emman\p_Claude\capstone\datacollection\Auchan\tomacouli_500.00g\2026-03-24_19-29-27-397.png"
2026-03-24,20:34:21,Auchan,Paris,auchan_fr,Paris,13,2026,thon,mdd,"enthier au naturel; boite",280.00,g,4.20,EUR,none,,fr,"","C:\Users\emman\p_Claude\capstone\datacollection\Auchan\thon_280.00g\2026-03-24_20-34-17-187.png"
2026-03-24,20:53:17,Auchan,Paris,auchan_fr,Paris,13,2026,thon,petit-navire,"entier au naurel; boite",280.00,g,5.67,EUR,none,,fr,"","C:\Users\emman\p_Claude\capstone\datacollection\Auchan\thon_280.00g\2026-03-24_20-53-13-852.png"
2026-03-25,23:23:11,Auchan,Paris,auchan_fr,Paris,13,2026,poitrine,pouce,"fume; 10 tranches",100.00,g,0.95,EUR,none,,fr,"","C:\Users\emman\p_Claude\capstone\datacollection\Auchan\bacon_100.00g\2026-03-25_23-23-05-208.png"
2026-03-25,23:24:44,Auchan,Paris,auchan_fr,Paris,13,2026,poitrine,herta,"fume; 7 tranches",100.00,g,2.89,EUR,none,,fr,"","C:\Users\emman\p_Claude\capstone\datacollection\Auchan\poitrine_100.00g\2026-03-25_23-24-39-507.png"
